year,crop,latitude,longitude,farm_name,producer_id,field_name,texture,field_id,sample_id,depth_in,som_percent,soc_percent,net_mb_tnb,net_mb_npoc,co2_72hr_mg_c_kg_soil_day,plfa_total_biomass_ngpg,plfa_diversity_index,plfa_bacteria_ngpg,plfa_fungi_ngpg,plfa_arb_myc_ngpg,bg_nmol_activity_gdrysoil_hr,cb_nmol_activity_gdrysoil_hr,phos_nmol_activity_gdrysoil_hr,lap_nmol_activity_gdrysoil_hr,nag_nmol_activity_gdrysoil_hr,herbivores_total_perc,fungivores_total_perc,bacterivores_total_perc,ph,cec_me_per_100g,total_n_percent,c_n_ratio,no3_lb_ac,p_ppm,k_ppm,ca_ppm,mg_ppm,s_ppm,b_ppm,fe_ppm,mn_ppm,cu_ppm,zn_ppm,na_ppm,sand_percent,silt_percent,clay_percent,bulk_density_g_cm3,ag_stability_mwd,field_capacity_g_g_h2o,wilting_point_g_g_h2o,total_available_water_g_g_h2o
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,1,0-6 in ,2.7,1.18,0,138.5973374,16.14871775,783.93,0.833,142.45,0,0,208.6611212,65.68331566,277.285915,60.89847609,115.0975891,,,,6.1,24.4,0.12,9.833333333,127.4723426,99.1,225.6,1967,1298.1,16.3,0.88,22.72,50.95,1.97,3.06,37.48,18.1,38.2,43.8,1.23,0.42,0.32,0.15,0.17
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,2,6-12 in ,2.6,1.13,4.8788632,47.57364114,12.95872617,659.88,0.814,156.07,0,0,,,,,,32,37,31,6.5,20.5,0.11,10.27272727,42.88062674,66.3,153,1692,1140.51,12.8,0.97,18.64,36.91,1.76,1.75,40.23,,,,1.33,0.61,0.31,0.16,0.15
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,11,0-6 in ,2.7,1.23,0,203.5418385,12.01736978,1102.67,0.974,232.58,7.6,0,196.7678111,61.95317611,171.7583369,46.05130473,127.9148363,,,,6.3,25.1,0.12,10.25,137.4787041,86,263.5,2049,1410.56,10.4,0.88,21.26,29.9,1.92,1.91,40.17,12.5,36.1,51.4,1.03,0.46,0.32,0.15,0.17
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,12,6-12 in ,2.6,1.18,0,0,12.72999627,616.09,0.922,120.78,3.23,0,,,,,,39.8,33.2,27,6.7,23.2,0.12,9.833333333,43.64344936,62.5,213,2065,1456.75,12.4,0.84,16.46,20.77,1.83,1.39,38.91,,,,1.27,0.42,0.3,0.14,0.16
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,silty clay,14,21,0-6 in ,2.9,1.35,0,0,14.18395426,397.52,0.801,91.59,0,0,262.18589,71.02315681,234.4446054,120.7354036,92.61331116,,,,6.4,23.2,0.13,10.38461538,77.88296722,71.1,330,1767,1315.82,11.2,0.85,19,25.09,1.78,1.78,32.75,18.2,40.2,41.7,1.19,0.52,0.34,0.14,0.2
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,silty clay,14,22,6-12 in ,2.8,1.3,0,201.4273134,14.79058028,741.45,0.982,162.64,3.47,0,,,,,,41.2,22.2,36.5,7,22.3,0.11,11.81818182,27.26365527,56.8,286.1,1930,1407.93,9.1,0.84,15.48,16.02,1.7,1.55,36.31,,,,1.29,0.36,0.32,0.11,0.21
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,31,0-6 in ,2.9,1.11,28.490475,253.0248182,12.68030521,597.3,1.368,192.02,29.83,12.01,228.8274589,41.72795576,135.5245175,133.5362825,73.52614903,,,,7.3,25.5,0.11,10.09090909,2.321679968,65.8,350.3,3506,838.47,39.1,0.97,15.05,11.87,1.79,1,25.75,24.3,33.8,41.9,0.91,1.3,0.32,0.14,0.18
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,32,6-12 in ,2.6,1,27.12971734,178.3607029,11.55543702,1274.34,1.383,383.9,111.19,53.45,,,,,,41.4,27.7,31,7.7,25.2,0.09,11.11111111,4.063332194,21.5,180.6,3219,1014.19,23.5,1.1,17.55,10.04,1.97,0.54,52.45,,,,1.29,1.96,0.29,0.13,0.16
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,41,0-6 in ,2.9,1.15,32.96361157,260.5775715,14.67663087,537.65,1.305,218.84,24.49,10.18,251.9311048,64.47215801,182.2332587,106.7316114,118.8912356,,,,7.4,24.3,0.11,10.45454545,4.101171766,71,371.1,3296,813.26,41.4,0.81,14.64,14.08,1.76,1.13,23.83,20.3,35.9,43.8,1.19,1.03,0.3,0.12,0.18
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,42,6-12 in ,2.6,1.04,31.62018909,236.7680245,15.65741857,518.16,1.26,172.3,18,8.71,,,,,,10.2,29.2,60.5,7.7,23,0.1,10.4,7.91319498,36.1,207.9,2936,898.36,17.9,1.25,16.95,11.75,1.81,0.81,58.48,,,,1.09,1.76,0.31,0.14,0.17
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,51,0-6 in ,3.3,1.27,34.34175711,299.0837757,16.65989291,1131.01,1.333,251.17,39.07,7.89,241.3944546,71.47108354,127.4444558,95.45762834,115.7712623,,,,7.3,29,0.12,10.58333333,1.550107791,73.2,379,3690,1129.8,50.4,0.85,13.7,12.84,1.82,1.08,27.97,14.3,36,49.8,1.12,1.13,0.29,0.14,0.15
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,52,6-12 in ,3,1.1,30.28607263,211.8177338,15.60045335,1046.3,1.123,228.57,15.52,0,,,,,,39.8,33.2,27,7.6,27.3,0.11,10,4.958581353,32.6,206.3,3277,1227.07,26.4,0.88,15.65,9.73,1.88,0.63,35.48,,,,1.19,1.61,0.31,0.15,0.16
